Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality_Cluster,Q4_Monthly_Income,Q5_Favorite_Sport,Q6_Favorite_Team,Q7_Fan_Type,Q8_Own_Jerseys,Q9_Jerseys_Owned,Q10_Jersey_Type_Interest,Q11_Authentication_Importance,Q12_Preferred_Condition,Q13_Player_Popularity_Importance,Q14_Rarity_Importance,Q15_Vintage_Interest,Q16_Willingness_to_Spend,Q17_Purchase_Frequency,Q18_Discount_Influence,Q19_Recommendation_Influence,Q20_Wishlist_Behavior,Q21_Would_Use_Platform,Q22_Trust_Factors,Q23_Would_Resell,Q24_Loyalty_Interest,Q25_Feature_Ranking
1159,18-24,Male,Other,"3,000-10,000",Football,Chelsea,Casual viewer,No,,Regular replica,4,"Used (visible wear, but authentic)",2,1,Not interested,201-500,5-10 times a year,Strongly influences,"Yes, definitely",No,Definitely no,AI-powered authenticity checks,No,Not really,Authentication verification > Rarity scoring system > Dynamic pricing transparency > AI-based recommendations
1160,35-44,Male,South Asian,"3,000-10,000",Football,Al Hilal,Investment buyer,No,,Signed by player,4,Good (minor wear),1,4,"Yes, very interested","501-1,500",2-4 times a year,No impact,"No, I prefer browsing on my own","Yes, occasionally",Definitely no,Third-party authentication certificates; Money-back guarantee; AI-powered authenticity checks,Maybe,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1161,25-34,Male,Arab,"10,001-20,000",Baseball,Chicago Cubs,Casual viewer,No,,Signed by player,3,Good (minor wear),4,3,Not interested,Under 50,2-4 times a year,Strongly influences,Maybe,"Yes, occasionally",Definitely yes,Money-back guarantee; Seller ratings and reviews,No,"Yes, strongly",Authentication verification > Dynamic pricing transparency > AI-based recommendations > Rarity scoring system
1162,18-24,Prefer not to say,African,"35,001-50,000",Basketball,LA Lakers,Passionate fan,Yes,1-3,Game-Worn,3,Mint (perfect),5,4,Not interested,201-500,2-4 times a year,Somewhat influences,"Yes, definitely","Yes, occasionally",Probably yes,AI-powered authenticity checks; Third-party authentication certificates,Yes,Not really,Dynamic pricing transparency > Rarity scoring system > Authentication verification > AI-based recommendations
1163,25-34,Male,Arab,"3,000-10,000",Football,Al Hilal,Casual viewer,No,,Regular replica,1,Good (minor wear),2,3,Not interested,Under 50,Once a year or less,Strongly influences,"No, I prefer browsing on my own","Yes, occasionally",Definitely no,Money-back guarantee; Third-party authentication certificates,Maybe,"Yes, strongly",Rarity scoring system > Authentication verification > AI-based recommendations > Dynamic pricing transparency
1164,25-34,Male,Arab,"35,001-50,000",Other,Multiple Teams,Investment buyer,No,,Limited Edition,3,Mint (perfect),2,3,Somewhat interested,"3,000+",5-10 times a year,Somewhat influences,"No, I prefer browsing on my own",No,Definitely no,Blockchain verification; AI-powered authenticity checks; Money-back guarantee,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1165,35-44,Male,South Asian,"3,000-10,000",Baseball,LA Dodgers,Hardcore collector,Yes,11-25,Game-Worn,3,Mint (perfect),2,3,Somewhat interested,"1,501-3,000",5-10 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,AI-powered authenticity checks; Money-back guarantee; Third-party authentication certificates; Blockchain verification,Maybe,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1166,25-34,Male,African,"35,001-50,000",Basketball,Miami Heat,Passionate fan,Yes,4-10,Signed by player,5,Good (minor wear),2,2,Somewhat interested,"501-1,500",5-10 times a year,Strongly influences,"Yes, definitely",No,Definitely no,Seller ratings and reviews; Blockchain verification; AI-powered authenticity checks; Third-party authentication certificates,Yes,"Yes, strongly",AI-based recommendations > Dynamic pricing transparency > Rarity scoring system > Authentication verification
1167,35-44,Male,South Asian,"10,001-20,000",Football,Chelsea,Investment buyer,Yes,4-10,Signed by player,4,"Used (visible wear, but authentic)",4,4,Not interested,50-200,5-10 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,Third-party authentication certificates; Money-back guarantee; AI-powered authenticity checks; Seller ratings and reviews,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1168,35-44,Female,African,"10,001-20,000",Football,Manchester United,Passionate fan,No,,Vintage,5,Condition doesn't matter if rare,4,3,"Yes, very interested",201-500,5-10 times a year,No impact,Maybe,"Yes, occasionally",Not sure,Money-back guarantee; Seller ratings and reviews,Maybe,"Yes, strongly",Dynamic pricing transparency > Rarity scoring system > AI-based recommendations > Authentication verification
1169,45-54,Female,Arab,"20,001-35,000",Basketball,LA Lakers,Hardcore collector,Yes,4-10,Signed by player,3,Good (minor wear),3,4,Somewhat interested,"501-1,500",More than 10 times a year,Somewhat influences,"Yes, definitely",No,Probably no,Third-party authentication certificates; Blockchain verification; Money-back guarantee; AI-powered authenticity checks,Maybe,Not really,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1170,18-24,Male,African,"Above 50,000",Football,Arsenal,Casual viewer,No,,Vintage,2,Good (minor wear),3,3,Somewhat interested,50-200,2-4 times a year,No impact,"Yes, definitely",No,Definitely no,Money-back guarantee; AI-powered authenticity checks,No,Not really,Dynamic pricing transparency > Authentication verification > AI-based recommendations > Rarity scoring system
1171,25-34,Female,Arab,"Below 3,000",Football,Arsenal,Casual viewer,No,,Regular replica,1,Good (minor wear),3,4,Somewhat interested,Under 50,Once a year or less,Strongly influences,Maybe,"Yes, frequently",Not sure,Money-back guarantee,Maybe,Somewhat,
1172,25-34,Male,Western Expat,,Basketball,Chicago Bulls,Hardcore collector,Yes,4-10,Limited Edition,5,Good (minor wear),2,3,"Yes, very interested","1,501-3,000",More than 10 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Probably yes,AI-powered authenticity checks; Third-party authentication certificates,Maybe,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1173,25-34,Female,Arab,"3,000-10,000",Football,Al Ahly,Hardcore collector,Yes,11-25,Limited Edition,3,Mint (perfect),3,3,"Yes, very interested","501-1,500",2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Not sure,Third-party authentication certificates; Blockchain verification; AI-powered authenticity checks; Money-back guarantee,Maybe,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1174,35-44,Male,South Asian,"10,001-20,000",Baseball,Chicago Cubs,Passionate fan,No,,Limited Edition,4,Mint (perfect),4,2,"Yes, very interested",50-200,2-4 times a year,No impact,"Yes, definitely","Yes, occasionally",Definitely no,Blockchain verification; AI-powered authenticity checks,Maybe,Somewhat,Dynamic pricing transparency > Rarity scoring system > Authentication verification > AI-based recommendations
1175,55-65,Male,South Asian,"10,001-20,000",Cricket,CSK,Casual viewer,Yes,1-3,Signed by player,1,Mint (perfect),3,4,Not interested,50-200,2-4 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, occasionally",Probably yes,Third-party authentication certificates; Blockchain verification; Money-back guarantee,No,"Yes, strongly",AI-based recommendations > Dynamic pricing transparency > Authentication verification > Rarity scoring system
1176,18-24,Male,South Asian,"10,001-20,000",Basketball,Miami Heat,Casual viewer,No,,Regular replica,4,Good (minor wear),2,2,Not interested,201-500,More than 10 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, occasionally",Not sure,AI-powered authenticity checks; Seller ratings and reviews; Third-party authentication certificates,Maybe,Somewhat,Dynamic pricing transparency > Authentication verification > AI-based recommendations > Rarity scoring system
1177,35-44,Male,Arab,"10,001-20,000",Cricket,CSK,Investment buyer,Yes,11-25,Vintage,4,Condition doesn't matter if rare,3,5,"Yes, very interested",50-200,More than 10 times a year,No impact,"Yes, definitely",No,Definitely yes,Blockchain verification; Third-party authentication certificates,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1178,45-54,Male,South Asian,"Below 3,000",Baseball,SF Giants,Casual viewer,No,,Limited Edition,2,Good (minor wear),4,2,Somewhat interested,201-500,Once a year or less,Strongly influences,Maybe,"Yes, occasionally",Probably yes,AI-powered authenticity checks; Third-party authentication certificates; Seller ratings and reviews,Maybe,"Yes, strongly",Authentication verification > Rarity scoring system > Dynamic pricing transparency > AI-based recommendations
1179,35-44,Female,South Asian,"10,001-20,000",Football,AC Milan,Investment buyer,No,,Signed by player,3,"Used (visible wear, but authentic)",3,4,Somewhat interested,50-200,2-4 times a year,No impact,"Yes, definitely","Yes, occasionally",Not sure,Third-party authentication certificates; Seller ratings and reviews; AI-powered authenticity checks; Blockchain verification,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1180,18-24,Female,Arab,"10,001-20,000",Football,Al Ahly,Investment buyer,Yes,1-3,Signed by player,5,Mint (perfect),4,4,"Yes, very interested",50-200,2-4 times a year,No impact,Maybe,No,Probably yes,Blockchain verification; Seller ratings and reviews; Money-back guarantee,Maybe,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1181,55-65,Prefer not to say,South Asian,"Above 50,000",Cricket,Pakistan National,Investment buyer,Yes,4-10,Game-Worn,4,Mint (perfect),2,5,Not interested,201-500,5-10 times a year,Strongly influences,Maybe,"Yes, occasionally",Probably yes,Third-party authentication certificates; Blockchain verification; AI-powered authenticity checks; Seller ratings and reviews,Maybe,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1182,18-24,Male,African,"3,000-10,000",Basketball,Boston Celtics,Hardcore collector,Yes,11-25,Game-Worn,3,Good (minor wear),4,4,"Yes, very interested",201-500,5-10 times a year,No impact,Maybe,No,Probably yes,Blockchain verification; AI-powered authenticity checks; Third-party authentication certificates,Maybe,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1183,25-34,Male,South Asian,"35,001-50,000",Cricket,Australia National,Passionate fan,Yes,1-3,Game-Worn,4,Good (minor wear),3,1,"Yes, very interested",201-500,More than 10 times a year,Strongly influences,Maybe,"Yes, frequently",Not sure,Blockchain verification; Third-party authentication certificates; Seller ratings and reviews,Yes,Somewhat,AI-based recommendations > Dynamic pricing transparency > Authentication verification > Rarity scoring system
1184,18-24,Male,Arab,"35,001-50,000",Football,Bayern Munich,Passionate fan,Yes,4-10,Game-Worn,5,Good (minor wear),4,3,"Yes, very interested",50-200,5-10 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Definitely yes,Money-back guarantee,Maybe,Somewhat,AI-based recommendations > Rarity scoring system > Dynamic pricing transparency > Authentication verification
1185,25-34,Male,Arab,"3,000-10,000",Other,Roger Federer Fan,Passionate fan,Yes,1-3,Signed by player,5,"Used (visible wear, but authentic)",4,4,"Yes, very interested","501-1,500",Once a year or less,Somewhat influences,"No, I prefer browsing on my own","Yes, frequently",Definitely yes,Third-party authentication certificates; Money-back guarantee,Maybe,Somewhat,Rarity scoring system > AI-based recommendations > Dynamic pricing transparency > Authentication verification
1186,35-44,Male,Arab,"20,001-35,000",Football,Manchester United,Passionate fan,Yes,1-3,Signed by player,3,"Used (visible wear, but authentic)",1,3,Not interested,50-200,5-10 times a year,No impact,"No, I prefer browsing on my own","Yes, occasionally",Probably yes,AI-powered authenticity checks; Money-back guarantee; Seller ratings and reviews; Blockchain verification,Maybe,Somewhat,AI-based recommendations > Dynamic pricing transparency > Rarity scoring system > Authentication verification
1187,25-34,Male,Arab,"20,001-35,000",Other,New Zealand All Blacks,Hardcore collector,Yes,26+,Vintage,5,Mint (perfect),4,4,Somewhat interested,201-500,More than 10 times a year,Somewhat influences,"Yes, definitely",No,Probably yes,Seller ratings and reviews; Money-back guarantee; Blockchain verification,No,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1188,35-44,Male,Western Expat,"3,000-10,000",Baseball,NY Yankees,Hardcore collector,Yes,11-25,Vintage,4,Mint (perfect),4,3,Somewhat interested,201-500,5-10 times a year,Somewhat influences,"No, I prefer browsing on my own","Yes, occasionally",Not sure,Blockchain verification; AI-powered authenticity checks; Seller ratings and reviews; Money-back guarantee,Yes,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1189,18-24,Male,Western Expat,"3,000-10,000",Baseball,Boston Red Sox,Investment buyer,Yes,4-10,Signed by player,5,Condition doesn't matter if rare,3,4,"Yes, very interested",50-200,More than 10 times a year,Strongly influences,Maybe,"Yes, occasionally",Definitely yes,Third-party authentication certificates; Money-back guarantee; Seller ratings and reviews,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1190,35-44,Male,South Asian,"10,001-20,000",Basketball,Miami Heat,Investment buyer,Yes,26+,Game-Worn,4,Condition doesn't matter if rare,3,3,Somewhat interested,201-500,5-10 times a year,No impact,"Yes, definitely",No,Not sure,Seller ratings and reviews; Blockchain verification; AI-powered authenticity checks; Third-party authentication certificates,Yes,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1191,35-44,Male,Arab,"10,001-20,000",Football,Manchester United,Hardcore collector,Yes,4-10,Regular replica,5,Mint (perfect),3,4,Somewhat interested,"1,501-3,000",More than 10 times a year,Somewhat influences,"Yes, definitely","Yes, occasionally",Definitely yes,AI-powered authenticity checks; Seller ratings and reviews; Money-back guarantee; Blockchain verification,No,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1192,18-24,Male,East Asian,"Below 3,000",Football,Real Madrid,Passionate fan,No,,Signed by player,4,Mint (perfect),3,3,Somewhat interested,"3,000+",Once a year or less,Strongly influences,"Yes, definitely","Yes, occasionally",Probably no,Blockchain verification,Yes,Somewhat,Dynamic pricing transparency > Authentication verification > Rarity scoring system > AI-based recommendations
1193,18-24,Male,Arab,"20,001-35,000",Football,Manchester United,Hardcore collector,Yes,26+,Limited Edition,4,Good (minor wear),4,4,Not interested,201-500,5-10 times a year,Somewhat influences,Maybe,"Yes, occasionally",,Third-party authentication certificates; Blockchain verification; Money-back guarantee,No,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1194,18-24,Male,Other,"Below 3,000",Baseball,LA Dodgers,Investment buyer,Yes,11-25,Limited Edition,4,Mint (perfect),3,4,"Yes, very interested",50-200,Once a year or less,No impact,Maybe,"Yes, occasionally",Definitely yes,AI-powered authenticity checks; Seller ratings and reviews; Third-party authentication certificates,Yes,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1195,35-44,Male,Arab,"Below 3,000",Football,Barcelona,Investment buyer,Yes,11-25,Signed by player,5,Mint (perfect),4,3,Somewhat interested,50-200,2-4 times a year,No impact,"Yes, definitely","Yes, occasionally",Probably yes,AI-powered authenticity checks; Blockchain verification; Third-party authentication certificates; Money-back guarantee,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1196,35-44,Male,Other,"3,000-10,000",Football,Chelsea,Hardcore collector,Yes,26+,Limited Edition,4,Mint (perfect),3,4,Somewhat interested,201-500,More than 10 times a year,Strongly influences,Maybe,"Yes, frequently",Not sure,AI-powered authenticity checks; Seller ratings and reviews; Third-party authentication certificates,No,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1197,35-44,Male,East Asian,"10,001-20,000",Football,Liverpool,Casual viewer,Yes,1-3,Vintage,3,"Used (visible wear, but authentic)",3,1,"Yes, very interested",Under 50,Once a year or less,Somewhat influences,"No, I prefer browsing on my own",No,Definitely no,Blockchain verification,Maybe,Somewhat,Authentication verification > Dynamic pricing transparency > AI-based recommendations > Rarity scoring system
1198,18-24,Male,Western Expat,"20,001-35,000",Other,Team India Hockey,Passionate fan,No,,Signed by player,2,Good (minor wear),2,2,Somewhat interested,201-500,2-4 times a year,No impact,"Yes, definitely",No,Probably yes,AI-powered authenticity checks; Blockchain verification,Maybe,Somewhat,Rarity scoring system > Dynamic pricing transparency > Authentication verification > AI-based recommendations
1199,25-34,Male,Arab,"Below 3,000",Other,Multiple Teams,Casual viewer,Yes,4-10,Limited Edition,3,Good (minor wear),2,4,Somewhat interested,Under 50,Once a year or less,No impact,Maybe,"Yes, frequently",Probably yes,Blockchain verification,No,Somewhat,AI-based recommendations > Authentication verification > Dynamic pricing transparency > Rarity scoring system
1200,18-24,Male,Arab,"3,000-10,000",Basketball,Boston Celtics,Casual viewer,Yes,4-10,Regular replica,3,Good (minor wear),3,2,Somewhat interested,201-500,Once a year or less,Strongly influences,Maybe,"Yes, frequently",Definitely no,Third-party authentication certificates; AI-powered authenticity checks; Blockchain verification,No,Somewhat,AI-based recommendations > Dynamic pricing transparency > Authentication verification > Rarity scoring system
1201,35-44,Male,African,"20,001-35,000",Other,Multiple Teams,Passionate fan,Yes,4-10,Signed by player,3,Mint (perfect),3,2,Not interested,201-500,2-4 times a year,Strongly influences,"Yes, definitely","Yes, frequently",Probably no,Money-back guarantee; Third-party authentication certificates,No,"Yes, strongly",Rarity scoring system > Dynamic pricing transparency > AI-based recommendations > Authentication verification
1202,18-24,Male,South Asian,"3,000-10,000",Cricket,Australia National,Casual viewer,No,,Signed by player,4,Condition doesn't matter if rare,3,2,"Yes, very interested",Under 50,2-4 times a year,Somewhat influences,"Yes, definitely","Yes, occasionally",Probably yes,AI-powered authenticity checks; Blockchain verification,No,"Yes, strongly",AI-based recommendations > Rarity scoring system > Authentication verification > Dynamic pricing transparency
1203,35-44,Male,South Asian,"3,000-10,000",Cricket,CSK,Hardcore collector,Yes,11-25,Limited Edition,4,Good (minor wear),3,4,Somewhat interested,"1,501-3,000",More than 10 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,Seller ratings and reviews; Blockchain verification,Maybe,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1204,45-54,Male,Arab,"Below 3,000",Cricket,Australia National,Passionate fan,Yes,4-10,Regular replica,3,Good (minor wear),2,2,"Yes, very interested",50-200,More than 10 times a year,No impact,Maybe,"Yes, occasionally",Probably yes,Blockchain verification; Money-back guarantee,No,"Yes, strongly",AI-based recommendations > Dynamic pricing transparency > Rarity scoring system > Authentication verification
1205,35-44,Male,Western Expat,"10,001-20,000",Other,Team India Hockey,Investment buyer,Yes,26+,Signed by player,5,Mint (perfect),4,4,"Yes, very interested",201-500,Once a year or less,Somewhat influences,Maybe,"Yes, frequently",Not sure,Blockchain verification; Money-back guarantee; Third-party authentication certificates; AI-powered authenticity checks,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1206,55-65,Male,Western Expat,"3,000-10,000",Baseball,SF Giants,Casual viewer,No,,Limited Edition,3,Good (minor wear),2,3,Not interested,50-200,5-10 times a year,Strongly influences,"No, I prefer browsing on my own",No,Probably yes,Third-party authentication certificates; Seller ratings and reviews; Money-back guarantee; Blockchain verification,No,"Yes, strongly",Authentication verification > Dynamic pricing transparency > Rarity scoring system > AI-based recommendations
1207,25-34,Female,African,"3,000-10,000",Football,Al Ahly,Passionate fan,No,,Signed by player,3,"Used (visible wear, but authentic)",4,3,Not interested,50-200,5-10 times a year,Somewhat influences,Maybe,"Yes, occasionally",Probably no,Third-party authentication certificates; AI-powered authenticity checks,Maybe,Not really,Rarity scoring system > Authentication verification > AI-based recommendations > Dynamic pricing transparency
1208,25-34,Male,South Asian,"3,000-10,000",Football,Chelsea,Passionate fan,No,,Game-Worn,3,Good (minor wear),3,3,Somewhat interested,201-500,Once a year or less,Strongly influences,"No, I prefer browsing on my own","Yes, occasionally",Not sure,AI-powered authenticity checks; Blockchain verification,No,Somewhat,Dynamic pricing transparency > AI-based recommendations > Rarity scoring system > Authentication verification
1209,45-54,Male,African,"Above 50,000",Football,Al Hilal,Hardcore collector,Yes,11-25,Signed by player,4,"Used (visible wear, but authentic)",3,4,"Yes, very interested",50-200,More than 10 times a year,No impact,"No, I prefer browsing on my own","Yes, frequently",Probably yes,Third-party authentication certificates; Money-back guarantee; AI-powered authenticity checks; Seller ratings and reviews,Maybe,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1210,25-34,Male,Arab,"Above 50,000",Baseball,NY Yankees,Passionate fan,No,,Limited Edition,4,Mint (perfect),3,3,Not interested,201-500,2-4 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Definitely no,Seller ratings and reviews; Money-back guarantee; AI-powered authenticity checks; Blockchain verification,Maybe,Somewhat,AI-based recommendations > Authentication verification > Dynamic pricing transparency > Rarity scoring system
1211,,Male,African,"10,001-20,000",Football,Real Madrid,Investment buyer,Yes,26+,Game-Worn,4,Good (minor wear),3,5,Not interested,"501-1,500",2-4 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,Third-party authentication certificates; Money-back guarantee; Blockchain verification,No,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1212,25-34,Female,Arab,"3,000-10,000",Football,PSG,Passionate fan,Yes,1-3,Limited Edition,4,Condition doesn't matter if rare,4,2,Somewhat interested,"1,501-3,000",5-10 times a year,Somewhat influences,"Yes, definitely","Yes, frequently",Definitely yes,Money-back guarantee; AI-powered authenticity checks; Seller ratings and reviews,No,Not really,Rarity scoring system > Dynamic pricing transparency > Authentication verification > AI-based recommendations
1213,55-65,Male,South Asian,"35,001-50,000",Football,Barcelona,Hardcore collector,Yes,11-25,Signed by player,4,"Used (visible wear, but authentic)",2,5,Somewhat interested,"501-1,500",5-10 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, frequently",Definitely yes,Money-back guarantee; Blockchain verification; Third-party authentication certificates,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1214,35-44,Female,South Asian,"10,001-20,000",Football,Al Ahly,Hardcore collector,Yes,11-25,Limited Edition,5,"Used (visible wear, but authentic)",3,3,Somewhat interested,"501-1,500",More than 10 times a year,No impact,Maybe,No,Probably no,Seller ratings and reviews; AI-powered authenticity checks; Blockchain verification,Maybe,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1215,25-34,Female,Other,"10,001-20,000",Basketball,Golden State Warriors,Hardcore collector,Yes,11-25,Game-Worn,3,Mint (perfect),2,4,"Yes, very interested","3,000+",2-4 times a year,No impact,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,Blockchain verification; AI-powered authenticity checks; Money-back guarantee,No,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1216,45-54,Male,Arab,"3,000-10,000",Football,Real Madrid,Hardcore collector,Yes,26+,Game-Worn,4,Mint (perfect),3,5,Somewhat interested,"501-1,500",5-10 times a year,No impact,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,AI-powered authenticity checks; Blockchain verification; Seller ratings and reviews,No,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1217,35-44,Male,Arab,"20,001-35,000",Other,Multiple Teams,Casual viewer,No,,Signed by player,2,Mint (perfect),3,1,Somewhat interested,Under 50,Once a year or less,Strongly influences,Maybe,"Yes, occasionally",Definitely yes,Third-party authentication certificates; Seller ratings and reviews; Money-back guarantee,Maybe,Somewhat,Authentication verification > Dynamic pricing transparency > AI-based recommendations > Rarity scoring system
1218,45-54,Male,Western Expat,"3,000-10,000",Basketball,Brooklyn Nets,Investment buyer,Yes,26+,Limited Edition,4,Mint (perfect),3,4,"Yes, very interested",50-200,5-10 times a year,No impact,Maybe,"Yes, frequently",Probably yes,Seller ratings and reviews; Blockchain verification; Money-back guarantee,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1219,45-54,Male,South Asian,"3,000-10,000",Cricket,India National,Hardcore collector,Yes,26+,Game-Worn,3,Good (minor wear),3,4,"Yes, very interested","501-1,500",Once a year or less,Strongly influences,Maybe,"Yes, occasionally",Definitely yes,Third-party authentication certificates; Blockchain verification; Seller ratings and reviews; AI-powered authenticity checks,No,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1220,35-44,Male,South Asian,"Below 3,000",Football,Chelsea,Casual viewer,No,,Limited Edition,3,Good (minor wear),2,2,Somewhat interested,201-500,Once a year or less,Somewhat influences,"No, I prefer browsing on my own",No,Definitely no,AI-powered authenticity checks; Money-back guarantee; Third-party authentication certificates,No,Not really,Rarity scoring system > Dynamic pricing transparency > AI-based recommendations > Authentication verification
1221,18-24,Male,Western Expat,"3,000-10,000",Other,Multiple Teams,Passionate fan,Yes,4-10,Regular replica,2,Mint (perfect),5,2,"Yes, very interested",50-200,5-10 times a year,Somewhat influences,Maybe,"Yes, occasionally",Probably yes,Third-party authentication certificates; Money-back guarantee; Seller ratings and reviews,No,"Yes, strongly",Dynamic pricing transparency > AI-based recommendations > Authentication verification > Rarity scoring system
1222,25-34,Male,Western Expat,"35,001-50,000",Other,Multiple Teams,Casual viewer,No,,Signed by player,2,Good (minor wear),3,3,Somewhat interested,Under 50,2-4 times a year,Strongly influences,"Yes, definitely","Yes, frequently",Not sure,Money-back guarantee; Seller ratings and reviews,No,Somewhat,Dynamic pricing transparency > AI-based recommendations > Rarity scoring system > Authentication verification
1223,45-54,Male,East Asian,"3,000-10,000",Baseball,Boston Red Sox,Investment buyer,Yes,11-25,Vintage,3,Mint (perfect),4,4,Somewhat interested,Under 50,More than 10 times a year,No impact,Maybe,"Yes, frequently",Definitely yes,Blockchain verification; AI-powered authenticity checks; Third-party authentication certificates; Money-back guarantee,Yes,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1224,25-34,Female,Western Expat,"3,000-10,000",Other,Multiple Teams,Casual viewer,Yes,1-3,Vintage,2,Good (minor wear),3,2,Not interested,201-500,5-10 times a year,No impact,Maybe,"Yes, occasionally",Probably yes,Third-party authentication certificates,Maybe,"Yes, strongly",Authentication verification > Dynamic pricing transparency > Rarity scoring system > AI-based recommendations
1225,18-24,Female,African,"20,001-35,000",Football,Arsenal,Hardcore collector,Yes,4-10,Limited Edition,4,Mint (perfect),3,4,"Yes, very interested",201-500,Once a year or less,No impact,"Yes, definitely","Yes, occasionally",Probably yes,AI-powered authenticity checks; Seller ratings and reviews; Third-party authentication certificates; Blockchain verification,No,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
1226,25-34,Female,Western Expat,"3,000-10,000",Baseball,NY Yankees,Casual viewer,No,,Regular replica,2,Good (minor wear),1,3,Somewhat interested,"1,501-3,000",Once a year or less,Somewhat influences,"No, I prefer browsing on my own",No,Definitely no,Money-back guarantee; AI-powered authenticity checks; Seller ratings and reviews; Blockchain verification,Maybe,Not really,Authentication verification > AI-based recommendations > Rarity scoring system > Dynamic pricing transparency
1227,45-54,Male,Western Expat,"3,000-10,000",Other,Team India Hockey,Investment buyer,Yes,26+,Game-Worn,3,Mint (perfect),4,4,Somewhat interested,Under 50,5-10 times a year,No impact,Maybe,"Yes, frequently",Definitely yes,Third-party authentication certificates; Money-back guarantee; AI-powered authenticity checks; Blockchain verification,Yes,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
1228,25-34,Male,South Asian,"10,001-20,000",Cricket,Mumbai Indians,Hardcore collector,Yes,11-25,Regular replica,4,Condition doesn't matter if rare,2,4,"Yes, very interested",201-500,2-4 times a year,Somewhat influences,Maybe,"Yes, frequently",Definitely yes,Money-back guarantee; Seller ratings and reviews; Blockchain verification; AI-powered authenticity checks,Maybe,Not really,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
